"filename", "language", "JavaScript", "JavaScript React", "CSS", "comment", "blank", "total"
"/Users/bsluther/development/gainzville/src/hooks/useController.js", "JavaScript", 6, 0, 0, 0, 3, 9
"/Users/bsluther/development/gainzville/src/hooks/useLogin.js", "JavaScript", 3, 0, 0, 0, 0, 3
"/Users/bsluther/development/gainzville/src/hooks/useOutsideClick.js", "JavaScript", 17, 0, 0, 0, 6, 23
"/Users/bsluther/development/gainzville/src/hooks/useTokenTutorial.js", "JavaScript", 21, 0, 0, 0, 4, 25
"/Users/bsluther/development/gainzville/src/index.css", "CSS", 0, 0, 3, 13, 2, 18
"/Users/bsluther/development/gainzville/src/main.jsx", "JavaScript React", 0, 21, 0, 1, 3, 25
"/Users/bsluther/development/gainzville/src/pages/record/Record.jsx", "JavaScript React", 0, 80, 0, 0, 7, 87
"/Users/bsluther/development/gainzville/src/pages/record/TemplateCreate.jsx", "JavaScript React", 0, 29, 0, 0, 2, 31
"/Users/bsluther/development/gainzville/src/pages/record/TemplateSearch.jsx", "JavaScript React", 0, 42, 0, 0, 8, 50
"/Users/bsluther/development/gainzville/src/state/activityInstanceReducer.js", "JavaScript", 48, 0, 0, 3, 15, 66
"/Users/bsluther/development/gainzville/src/state/activityTemplateReducer.js", "JavaScript", 32, 0, 0, 0, 7, 39
"/Users/bsluther/development/gainzville/src/state/facetTemplateReducer.js", "JavaScript", 50, 0, 0, 0, 10, 60
"/Users/bsluther/development/gainzville/src/svg/BookmarkSvg.jsx", "JavaScript React", 0, 15, 0, 0, 2, 17
"/Users/bsluther/development/gainzville/src/svg/ChevronUpSVG.jsx", "JavaScript React", 0, 15, 0, 0, 0, 15
"/Users/bsluther/development/gainzville/src/svg/CogSVG.jsx", "JavaScript React", 0, 45, 0, 0, 2, 47
"/Users/bsluther/development/gainzville/src/svg/DotsVerticalSVG.jsx", "JavaScript React", 0, 32, 0, 0, 2, 34
"/Users/bsluther/development/gainzville/src/svg/MinusCircleSVG.jsx", "JavaScript React", 0, 15, 0, 0, 0, 15
"/Users/bsluther/development/gainzville/src/svg/MinusSvg.jsx", "JavaScript React", 0, 15, 0, 0, 0, 15
"/Users/bsluther/development/gainzville/src/svg/PencilAltSvg.jsx", "JavaScript React", 0, 15, 0, 0, 0, 15
